"MetaCyc"	meta
"Escherichia coli K-12 substr. MG1655"	ecoli
"Homo sapiens"	human
"Abiotrophia defectiva ATCC 49176"	gcf_000160075
"Acaricomes phytoseiuli DSM 14247"	gcf_000376245
"Acaryochloris marina MBIC11017"	amar329726
"Acaryochloris sp. CCMEE 5410"	asp310037
"Acetivibrio cellulolyticus CD2"	acel509191
"Acetobacter aceti NBRC 14818"	aace887700
"Acetobacter malorum"	gcf_000743885
"Acetobacter nitrogenifigens DSM 23921 = LMG 23498"	gcf_000429165
"Acetobacter okinawensis JCM 25146"	gcf_000613865
"Acetobacter papayae JCM 25143"	gcf_000613285
"Acetobacter pasteurianus 386B"	apas1266844
"Acetobacter pasteurianus pasteurianus IFO 3283-01"	apas634452
"Acetobacter pasteurianus pasteurianus IFO 3283-01-42C"	apas634458
"Acetobacter pasteurianus pasteurianus IFO 3283-03"	apas634453
"Acetobacter pasteurianus pasteurianus IFO 3283-07"	apas634454
"Acetobacter pasteurianus pasteurianus IFO 3283-12"	apas634459
"Acetobacter pasteurianus pasteurianus IFO 3283-22"	apas634455
"Acetobacter pasteurianus pasteurianus IFO 3283-26"	apas634456
"Acetobacter pasteurianus pasteurianus IFO 3283-32"	apas634457
"Acetobacter tropicalis NBRC 101654"	atro749388
"Acetobacteraceae bacterium AT-5844"	abac1054213
"Acetobacterium dehalogenans DSM 11527"	gcf_000472665
"Acetobacterium woodii DSM 1030"	awoo931626
"Acetohalobium arabaticum DSM 5501"	aara574087
"Acetonema longum DSM 6540"	alon1009370
"Acholeplasma axanthum ATCC 25176"	gcf_000428705
"Acholeplasma brassicae"	abra61635
"Acholeplasma equifetale ATCC 29724"	gcf_000687735
"Acholeplasma granularum ATCC 19168"	gcf_000526235
"Acholeplasma hippikon ATCC 29725"	gcf_000702765
"Acholeplasma laidlawii PG-8A"	alai441768
"Acholeplasma modicum ATCC 29102"	gcf_000687835
"Acholeplasma multilocale ATCC 49900"	gcf_000483165
"Acholeplasma oculi"	gcf_000953195
"Acholeplasma palmae J233"	apal1318466
"Achromobacter arsenitoxydans SY8"	aars477184
"Achromobacter piechaudii ATCC 43553"	apie742159-hmp
"Achromobacter piechaudii HLE"	apie1156919
"Achromobacter xylosoxidans A8"	axyl762376
"Achromobacter xylosoxidans AXX-A"	axyl1003200
"Achromobacter xylosoxidans C54"	axyl562971-hmp
"Achromobacter xylosoxidans NBRC 15126 = ATCC 27061"	axyl1216976
"Achromobacter xylosoxidans NH44784-1996"	axyl1167634
"Acidaminococcus fermentans DSM 20731"	afer591001
"Acidaminococcus intestini RyC-MR95"	aint568816
"Acidaminococcus sp. D21"	asp563191-hmp
"Acidianus hospitalis W1"	ahos933801
"Acidilobus saccharovorans 345-15"	asac666510
"Acidimicrobium ferrooxidans DSM 10331"	afer525909
"Acidiphilium angustum ATCC 35903"	gcf_000701585
"Acidiphilium cryptum JF-5"	acry349163
"Acidiphilium multivorum AIU301"	amul926570
"Acidiphilium sp. PM"	asp1043206
"Acidithiobacillus caldus ATCC 51756"	acal637389
"Acidithiobacillus caldus SM-1"	acal990288
"Acidithiobacillus ferrivorans SS3"	afer743299
"Acidithiobacillus ferrooxidans ATCC 23270"	afer243159
"Acidithiobacillus ferrooxidans ATCC 53993"	afer380394
"Acidithiobacillus sp. GGI-221"	asp872330
"Acidithiobacillus thiooxidans ATCC 19377"	athi637390
"Acidobacterium capsulatum ATCC 51196"	acap240015
"Acidocella facilis ATCC 35904"	gcf_000687875
"Acidocella sp. MX-AZ02"	asp1214225
"Acidothermus cellulolyticus 11B"	acel351607
"Acidovorax avenae avenae ATCC 19860"	aave643561
"Acidovorax citrulli AAC00-1"	acit397945
"Acidovorax delafieldii 2AN"	adel573060
"Acidovorax ebreus TPSY"	aebr535289
"Acidovorax radicis N35"	gcf_000204195
"Acidovorax sp. CF316"	asp1144317
"Acidovorax sp. JS42"	asp232721
"Acidovorax sp. KKS102"	asp358220
"Acidovorax sp. NO-1"	asp512030
"Aciduliprofundum boonei T469"	aboo439481
"Aciduliprofundum sp. MAR08-339"	asp673860
"Acinetobacter baumannii 1656-2"	abau696749
"Acinetobacter baumannii 3909"	abau886889
"Acinetobacter baumannii 4190"	abau886890
"Acinetobacter baumannii 6013113"	abau592014-hmp
"Acinetobacter baumannii 6013150"	abau525243-hmp
"Acinetobacter baumannii 6014059"	abau525242-hmp
"Acinetobacter baumannii AA-014"	abau903937
"Acinetobacter baumannii AB0057"	abau480119
"Acinetobacter baumannii AB056"	abau710094
"Acinetobacter baumannii AB058"	abau710095
"Acinetobacter baumannii Ab11111"	abau1168588
"Acinetobacter baumannii AB210"	abau886886
"Acinetobacter baumannii AB307-0294"	abau557600
"Acinetobacter baumannii Ab44444"	abau1168591
"Acinetobacter baumannii AB4857"	abau1116233
"Acinetobacter baumannii AB5075"	abau1116234
"Acinetobacter baumannii AB5256"	abau1116235
"Acinetobacter baumannii AB5711"	abau1116236
"Acinetobacter baumannii AB900"	abau557601
"Acinetobacter baumannii ABNIH1"	abau992402
"Acinetobacter baumannii ABNIH2"	abau992403
