RXN0-6981	EC-3.4.13.18	peptidase D	pepD
RXN0-5228	EC-5.1.1.20	L-Ala-D/L-Glu epimerase	ycjG
RXN0-961	RXN0-961	murein tripeptide amidase A	mpaA
RXN0-5227	EC-3.4.17.13	L,D-carboxypeptidase A	ldcA
RXN0-5227	EC-3.4.17.13	murein DD-endopeptidase||murein LD-carboxypeptidase	mepS
RXN-16461	RXN-16461	unknown	unknown
RXN-16460	EC-1.14.13	abscisic acid 9'-hydroxylase||abscisic acid 8'-hydroxylase	AT3G19270
RXN-16460	EC-1.14.13	abscisic acid 9'-hydroxylase||abscisic acid 8'-hydroxylase	AT5G45340
RXN-16460	EC-1.14.13	abscisic acid 9'-hydroxylase||abscisic acid 8'-hydroxylase	AT2G29090
RXN-16460	EC-1.14.13	(+)-abscisic acid 8&prime;-hydroxylase	AT4G19230
RXN-16465	EC-1.14.13	abscisic acid 7'-hydroxylase	unknown
RXN-16465	EC-1.14.13	abscisic acid 7'-hydroxylase	unknown
RXN-10905	RXN-10905	unknown	unknown
RXN-10898	RXN-10898	GGE dehydrogenase	ligL
RXN-10898	RXN-10898	GGE dehydrogenase	ligN
RXN-10899	RXN-10899	GGE dehydrogenase	ligD
RXN-10901	RXN-10901	GGE dehydrogenase	ligL
RXN-10901	RXN-10901	GGE dehydrogenase	ligN
RXN-10902	RXN-10902	LigF &beta;-etherase	ligF
RXN-10903	RXN-10903	&beta;-etherase	ligE
RXN-10904	RXN-10904	glutathione lyase	ligG
RXN-10900	RXN-10900	GGE dehydrogenase	ligD
RXN-8154	EC-1.1.1	unknown	unknown
1.14.13.93-RXN	EC-1.14.13.93	abscisic acid 8'-hydroxylase	ABA8'OH-1
1.14.13.93-RXN	EC-1.14.13.93	abscisic acid 9'-hydroxylase||abscisic acid 8'-hydroxylase	AT3G19270
1.14.13.93-RXN	EC-1.14.13.93	abscisic acid 9'-hydroxylase||abscisic acid 8'-hydroxylase	AT5G45340
1.14.13.93-RXN	EC-1.14.13.93	abscisic acid 9'-hydroxylase||abscisic acid 8'-hydroxylase	AT2G29090
1.14.13.93-RXN	EC-1.14.13.93	(+)-abscisic acid 8&prime;-hydroxylase	AT4G19230
RXN-8153	RXN-8153	unknown	unknown
RXN66-185	RXN66-185	unknown	unknown
RXN66-184	RXN66-184	unknown	unknown
RXN66-183	EC-1.1	unknown	unknown
RXN66-181	EC-1.14.14.1	cytochrome P450 2B6	CYP2B6
RXN66-182	EC-1.1	unknown	unknown
RXN-15216	EC-5.3.1.32	phospho-AI-2 isomerase	lsrG
RXN0-5461	EC-2.7.1.189	autoinducer-2 kinase	lsrK
RXN-15943	EC-2.3.1.245	3-hydroxy-2,4-pentadione 5-phosphate thiolase	lsrF
RXN-16015	RXN-16015	unknown	unknown
RXN-16014	EC-1.13.11	mercaptosuccinate dioxygenase	msdo
RXN0-6377	EC-1.7.1.4	assimilatory nitrite reductase	nit-6
2-NITROPROPANE-DIOXYGENASE-RXN	EC-1.13.12.16	nitronate monooxygenase	2-NPD
2-NITROPROPANE-DIOXYGENASE-RXN	EC-1.13.12.16	nitronate monooxygenase	ncd-2
RXN-13673	EC-2.5.1.18	glutathione <i>S</i>-transferase A1	GSTA1
RXN-13678	EC-2.3.1.80	cysteine-<i>S</i>-conjugate <i>N</i>-acetyltransferase	unknown
RXN-13678	EC-2.3.1.80	cysteine-<i>S</i>-conjugate <i>N</i>-acetyltransferase	unknown
RXN-13677	EC-3.4.11.2	aminopeptidase M	Anpep
