ORF_ID	ec	     product
52856_0		metal dependent phosphohydrolase GAF sensor
29910_0		cytochrome c biogenesis protein, transmembrane region 
29913_0		glycoside hydrolase family 16 domain-containing protein 
29912_0	5.1.3.1	Ribulose-phosphate 3-epimerase, chloroplastic 
29915_0		
52853_0		Protoheme ferro-lyase 
29917_0		oligopeptidase A 
29916_0		folate-binding protein YgfZ
29919_0		alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen 
52854_0		4-diphosphocytidyl-2C-methyl-D-erythritol kinase
4744_0		DNA protection protein DPS 
4744_1		heat shock protein DnaJ domain-containing 
4745_0		DNA-binding protein containing Zn-ribbon domain 
4745_1		DNA-binding protein containing Zn-ribbon domain 
4745_2		diphthamide synthase subunit 
54267_0		hydroxymethylglutaryl-CoA lyase, HMGL-like family 
54263_0		alcohol dehydrogenase 
54260_1		2'-5' RNA ligase 
89318_0		spermidine synthase, partial
54269_0		DNA-directed RNA polymerase subunit beta' 
107333_0		UDP-N-acetyl-D-glucosamine 6-dehydrogenase 
107332_0	1.3.5.1	Succinate dehydrogenase flavoprotein subunit 2, mitochondrial 
107331_0		cell division membrane protein 
97598_0		Na+/solute symporter 
107440_0		N-acetyltransferase GCN5 
107335_0		Amp-dependent synthetase ligase 
97595_0		MFS transporter
52851_0		adenylosuccinate lyase 
97591_0		amino acid permease-associated region 
33938_0		methionyl-tRNA synthetase 
33939_0		Domain unknown function (DUF1083) 
33934_1		ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component 
33937_0		Dehydrogenase reductase 
33930_0		eight transmembrane protein EpsH 
33932_0	1.2.1.41	Gamma-glutamyl phosphate reductase 
33933_0	2.7.8.13	Phospho-N-acetylmuramoyl-pentapeptide-transferase 
35576_0		Endonuclease IV plays role DNA repair. It cleaves phosphodiester bonds apurinic or apyrimidinic sites (AP sites) to produce new 5'-ends that are base-free deoxyribose 5-phosphate residues. preferentially attacks modified AP created bleomycin neocarzinostatin (By similarity) 
67017_0		valyl-tRNA synthetase 
35574_0		helicase PriA essential oriC/DnaA-independent DNA replication 
67015_0		leucyl-tRNA synthetase 
35572_0		2-oxoglutarate oxidoreductase subunit KorA 
35573_0		phosphoserine phosphatase / phosphoserine:homoserine phosphotransferase homoserine kinase 
35570_0		aspartyl-tRNA synthetase/aspartyl-tRNA(Asn) synthetase unambiguous 
35571_0		Riboflavin biosynthesis protein RibD 
35578_0		
26499_0		
26498_0		Cupin 2 Conserved Barrel Domain Protein 
30707_0		RND superfamily 
30704_0		MULTISPECIES: beta-ketoacyl synthase
30705_0		putative metallopeptidase (SprT family) 
30708_0		UvrABC system protein B 
26494_0		ABC transporter 
26497_0		spermidine/putrescine transport system permease 
26496_0		4-hydroxy-3-methylbut-2-enyl diphosphate reductase 
27544_1	4.2.1.19	Imidazoleglycerol-phosphate dehydratase (Fragment) 
23044_1	2.5.1.9	Riboflavin synthase 
90210_0		
27547_0		putative quinoprotein alcohol dehydrogenase 
27540_0		
27540_1		sensor signal transduction histidine kinase 
27541_0		multifunctional tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase/phosphatase 
27543_0		phytanoyl-CoA dioxygenase 
90218_0		Catalyzes radical-mediated transfer hydroxybenzyl group from 4-hydroxyphenylpyruvate (HPP) to 5-amino- 6-ribitylamino-2,4(1H,3H)-pyrimidinedione form 7,8-didemethyl- 8-hydroxy-5-deazariboflavin (FO) (By similarity) 
27548_0		4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase 
27549_0		S-methyl-5'-thioadenosine phosphorylase 
27549_1		
95198_0		transcription elongation factor (transcript cleavage factor) 
95196_0		MiaB-like tRNA modifying enzyme 
95197_0		Predicted membrane protein (DUF2061) 
95194_0		D-isomer specific 2-hydroxyacid dehydrogenase 
95193_0		oxidoreductase 
95190_0		TonB-dependent receptor
95191_0		l-asparaginase ii 
40802_0		SprA 
40803_1		Glutamine amidotransferase class-I 
40806_0		superfamily I DNA/RNA helicase 
40807_0		NAD-binding 3-hydroxyacyl-CoA dehydrogenase 
40805_0		alanyl-tRNA synthetase 
102675_0		
102677_0	1.3.1.9	Similar to E.coli EnvM (Fragment) OS Proteus mirabilis PE 4 SV 1 
88805_0		Na(+)-translocating NADH-quinone reductase subunit C 
79815_0		amino acid ABC transporter inner membrane protein 
102670_0		peptidase S8/S53 subtilisin kexin sedolisin 
102673_0		tRNA(Ile)-lysidine synthetase 
79819_0	2.7.9.1	Pyruvate, phosphate dikinase 
102678_0		molybdopterin biosynthesis protein MoeB 
101099_0		Probable cobalt transporter subunit (CbtA) 
57983_1		acyl-CoA dehydrogenase MmgC 
57982_0		ATP-dependent endonuclease 
97599_0		UvrABC system protein A 
24893_1		excinuclease ABC subunit B 
24892_0		type IV fimbrial biogenesis protein PilY1 
24891_0		F-box protein 21 
24897_0	2.7.1.25	Bifunctional enzyme NodQ 
24896_0		aspartyl-tRNA synthetase 
24894_0		dihydroorotase 
24894_1		aminomethyl transferase family protein 
24899_0	2.6.1.66	Valine--pyruvate aminotransferase 
85678_0		glutamate racemase 
98511_0		
98510_0	3.3.1.1	Adenosylhomocysteinase A 
101326_0		UPF0365 protein 
101327_0	5.4.3.8	Glutamate-1-semialdehyde aminotransferase 
70506_0		3-chlorobenzoate-3,4-dioxygenase dyhydrogenase related protein 
101325_0		glutamate synthase, alpha subunit, C-terminal region, partial 
101322_0		acyl-CoA dehydrogenase domain-containing protein 
70501_0		signal recognition particle protein (docking protein) 
